Rank;Name;Platform;Year;Genre;Publisher;EU_Sales
380;Battlefield: Bad Company 2;X360;2010;Shooter;Electronic Arts;1.02
381;Guitar Hero: On Tour;DS;2008;Misc;Activision;1.01
382;Assassin's Creed: Unity;XOne;2014;Action;Ubisoft;0.89
383;Far Cry 3;PS3;2012;Shooter;Ubisoft;1.75
384;Monster Hunter 4;3DS;2013;Role-Playing;Capcom;0
385;Borderlands;X360;2009;Shooter;Take-Two Interactive;0.73
386;Tekken 4;PS2;2002;Fighting;Namco Bandai Games;1.27
387;Battlefield 4;PS4;2013;Shooter;Electronic Arts;1.54
388;LittleBigPlanet 2;PS3;2011;Platform;Sony Computer Entertainment;1.07
389;Grand Theft Auto 2;PS;1998;Action;Take-Two Interactive;2.07
390;Final Fantasy III;SNES;1994;Role-Playing;SquareSoft;0
391;Spider-Man 2;PS2;2004;Action;Activision;1.2
392;F-1 Race;GB;1990;Racing;Nintendo;0.69
393;FIFA Soccer 2003;PS2;2002;Sports;Electronic Arts;2.28
394;Crash Bash;PS;2000;Misc;Sony Computer Entertainment;1.47
395;LEGO Batman: The Videogame;X360;2008;Action;Warner Bros. Interactive Entertainment;1.03
396;Metal Gear Solid V: The Phantom Pain;PS4;2015;Action;Konami Digital Entertainment;1.35
397;The Legend of Zelda: Spirit Tracks;DS;2009;Action;Nintendo;0.94
398;WWF War Zone;PS;1998;Fighting;Acclaim Entertainment;0.76
399;The Legend of Zelda: Majora's Mask;N64;2000;Action;Nintendo;0.67
400;Professor Layton and the Unwound Future;DS;2008;Puzzle;Nintendo;1.61
401;Rugrats: Search For Reptar;PS;1998;Adventure;THQ;1.53
402;Assassin's Creed IV: Black Flag;X360;2013;Action;Ubisoft;1.14
403;English Training: Have Fun Improving Your Skills!;DS;2006;Misc;Nintendo;0.99
404;James Bond 007: Nightfire;PS2;2002;Shooter;Electronic Arts;1.29
405;Ratchet & Clank;PS2;2002;Platform;Sony Computer Entertainment;1.01
406;Mario Party 9;Wii;2012;Misc;Nintendo;1.17
407;Star Wars Episode III: Revenge of the Sith;PS2;2005;Action;LucasArts;1.39
408;Max Payne;PS2;2001;Shooter;Take-Two Interactive;1.05
409;The Lord of the Rings: The Return of the King;PS2;2003;Action;Electronic Arts;1.28
410;Assassin's Creed Syndicate;PS4;2015;Action;Ubisoft;1.92
411;Destiny;XOne;2014;Shooter;Activision;0.92
412;True Crime: Streets of LA;PS2;2003;Action;Activision;1.05
413;Wii Music;Wii;2008;Misc;Nintendo;1.13
414;Gran Turismo (PSP);PSP;2009;Racing;Sony Computer Entertainment;1.59
415;Monster Hunter X;3DS;2015;Action;Capcom;0.19
416;Tekken;PS;1995;Fighting;Sony Computer Entertainment;1.3
417;FIFA 16;XOne;2015;Sports;Electronic Arts;2.11
418;L.A. Noire;PS3;2011;Adventure;Take-Two Interactive;1.33
419;Madden NFL 16;PS4;2015;Sports;Electronic Arts;0.3
420;Yokai Watch 2 Ganso/Honke;3DS;2014;Role-Playing;Nintendo;0
421;007: Tomorrow Never Dies;PS;1999;Shooter;Electronic Arts;1.33
422;Baseball;NES;1983;Sports;Nintendo;0.1
423;Killer Instinct;SNES;1995;Fighting;Nintendo;0.72
424;WWF SmackDown! 2: Know Your Role;PS;2000;Fighting;THQ;1.21
425;Crisis Core: Final Fantasy VII;PSP;2007;Role-Playing;Square Enix;0.6
426;God of War: Chains of Olympus;PSP;2008;Action;Sony Computer Entertainment;1.01
427;Dragon Quest VI: Maboroshi no Daichi;SNES;1995;Role-Playing;Enix Corporation;0
428;Dance Central;X360;2010;Misc;MTV Games;0.77
429;Enter the Matrix;PS2;2003;Action;Atari;1.12
430;Super Mario Maker;WiiU;2015;Platform;Nintendo;0.87
431;Fallout: New Vegas;PS3;2010;Role-Playing;Bethesda Softworks;1.08
432;LEGO Batman: The Videogame;Wii;N/A;Action;Warner Bros. Interactive Entertainment;1.02
433;Rhythm Heaven;DS;2008;Misc;Nintendo;0.51
434;Ace Combat 04: Shattered Skies;PS2;2001;Simulation;Sony Computer Entertainment Europe;0.56
435;Club Penguin: Elite Penguin Force;DS;2008;Adventure;Disney Interactive Studios;0.98
436;Animal Crossing;GC;2001;Simulation;Nintendo;0.16
437;LEGO Batman: The Videogame;DS;2008;Action;Warner Bros. Interactive Entertainment;1.06
438;Sonic Rush;DS;2005;Platform;Sega;1.57
439;Resident Evil 6;PS3;2012;Shooter;Capcom;0.97
440;Halo: The Master Chief Collection;XOne;2014;Shooter;Microsoft Game Studios;0.99
441;FIFA Soccer 08;PS2;2007;Sports;Electronic Arts;0
442;Spider-Man;PS;2000;Action;Activision;1.25
443;Need for Speed III: Hot Pursuit;PS;1998;Racing;Electronic Arts;0.86
444;Star Wars Episode I Racer;N64;1999;Racing;Nintendo;0.62
445;Personal Trainer: Cooking;DS;2006;Misc;Nintendo;1
446;The Elder Scrolls IV: Oblivion;PS3;2007;Role-Playing;Ubisoft;0.87
447;Dragon Warrior IV;NES;1990;Role-Playing;Enix Corporation;0
448;Heavy Rain;PS3;2010;Adventure;Sony Computer Entertainment;1.27
449;Mass Effect 2;X360;2010;Role-Playing;Electronic Arts;0.82
450;FIFA 15;X360;2014;Sports;Electronic Arts;2.02
451;Dragon Ball Z: Budokai;PS2;2002;Fighting;Atari;0.28
452;Madden NFL 2002;PS2;2001;Sports;Electronic Arts;0.16
453;World Class Track Meet;NES;1986;Sports;Namco Bandai Games;0.45
454;Borderlands 2;X360;2012;Shooter;Take-Two Interactive;0.91
455;The Legend of Zelda: A Link Between Worlds;3DS;2013;Action;Nintendo;0.99
456;Donkey Kong;GB;1994;Platform;Nintendo;0.62
457;The Sims: Vacation;PC;2002;Simulation;Electronic Arts;1.21
458;Mass Effect 3;X360;2012;Role-Playing;Electronic Arts;0.86
459;Kung Fu Panda;X360;2008;Action;Activision;0.84
460;Far Cry 3;X360;2012;Shooter;Ubisoft;1.35
461;Epic Mickey;Wii;2010;Platform;Disney Interactive Studios;0.64
462;Saints Row 2;X360;2008;Action;THQ;0.8
463;Rayman;PS;1995;Platform;Ubisoft;1.33
464;Killzone 2;PS3;2009;Shooter;Sony Computer Entertainment;1.07
465;Tom Clancy's Splinter Cell;XB;2002;Action;Ubisoft;1.04
466;Mike Tyson's Punch-Out!!;NES;1987;Fighting;Nintendo;0.47
467;WWE SmackDown! Shut Your Mouth;PS2;2002;Sports;THQ;1.13
468;Gears of War: Ultimate Edition;XOne;2015;Shooter;Microsoft Game Studios;0.32
469;NBA 2K13;X360;2012;Sports;Take-Two Interactive;0.21
470;Dragon Ball Z: Budokai Tenkaichi 3;PS2;2007;Fighting;Atari;0
471;wwe Smackdown vs. Raw 2006;PS2;N/A;Fighting;N/A;1.02
472;Middle-Earth: Shadow of Mordor;PS4;2014;Action;Warner Bros. Interactive Entertainment;1.41
473;Star Fox;SNES;1993;Shooter;Nintendo;0.51
474;The Sims: Livin Large;PC;2000;Misc;Electronic Arts;1.18
475;World Soccer Winning Eleven 6 International;PS2;2002;Sports;Konami Digital Entertainment;1.26
476;Devil May Cry;PS2;2001;Action;Capcom;0.86
477;Animal Crossing: Happy Home Designer;3DS;2015;Simulation;Nintendo;1
478;Battlefield: Bad Company 2;PS3;2010;Shooter;Electronic Arts;1.12
479;The Sims 4;PC;2014;Simulation;Electronic Arts;1.72
480;Star Wars: The Old Republic;PC;2011;Role-Playing;Electronic Arts;1.01
481;Sonic Heroes;PS2;2003;Platform;Sega;1.37
482;Kirby Super Star Ultra;DS;2008;Platform;Nintendo;0.04
483;Hitman 2: Silent Assassin;PS2;2002;Action;Eidos Interactive;1.15
484;Street Fighter IV;X360;2009;Fighting;Capcom;0.71
485;Wave Race 64;N64;1996;Racing;Nintendo;0.58
486;SOCOM II: U.S. Navy SEALs;PS2;2003;Shooter;Sony Computer Entertainment;0.51
487;WWE SmackDown! vs. RAW 2006;PS2;2005;Fighting;THQ;1.11
488;inFAMOUS;PS3;2009;Action;Sony Computer Entertainment;0.69
489;Pac-Man Collection;GBA;2001;Puzzle;Atari;0.77
490;Mass Effect;X360;2007;Role-Playing;Microsoft Game Studios;0.8
491;WarioWare: Smooth Moves;Wii;2006;Puzzle;Nintendo;1.06
492;Cooking Mama: Cook Off;Wii;2007;Simulation;505 Games;1.13
493;Super Mario World 2: Yoshi's Island;GBA;2002;Platform;Nintendo;0.45
494;FIFA 14;PS4;2013;Sports;Electronic Arts;1.85
495;Titanfall;XOne;2014;Shooter;Electronic Arts;0.8
496;Sonic Mega Collection Plus;PS2;2004;Misc;Sega;1.14
497;Sega Superstars Tennis;X360;2008;Sports;Sega;0.86
498;World Soccer Winning Eleven 7 International;PS2;2003;Sports;Konami Digital Entertainment;1.24
499;Need for Speed: Most Wanted;PS3;2012;Racing;Electronic Arts;1.51
500;Hot Shots Golf 3;PS2;2001;Sports;Sony Computer Entertainment;0.32
501;Call of Duty: Finest Hour;PS2;2004;Shooter;Activision;1.12
502;Zumba Fitness 2;Wii;2011;Sports;Majesco Entertainment;1.07
503;Syphon Filter;PS;1999;Shooter;Sony Computer Entertainment;0.72
504;Imagine: Babyz;DS;2007;Simulation;Ubisoft;1.27
505;Colin McRae Rally;PS;1998;Racing;Codemasters;2.43
506;Call of Duty: Ghosts;XOne;2013;Shooter;Activision;0.77
507;Madden NFL 13;X360;2012;Sports;Electronic Arts;0.16
508;The Elder Scrolls III: Morrowind;XB;2002;Role-Playing;Ubisoft;0.63
509;Mortal Kombat;PS3;2011;Fighting;Warner Bros. Interactive Entertainment;0.55
510;F-Zero;SNES;1990;Racing;Nintendo;0.51
511;Yoshi's Story;N64;1997;Platform;Nintendo;0.53
512;Command & Conquer: Red Alert;PC;1996;Strategy;Virgin Interactive;1.34
513;Skylanders: Spyro's Adventure;Wii;2011;Action;Activision;1.14
514;FIFA 16;PS3;2015;Sports;Electronic Arts;1.98
515;Assassin's Creed: Brotherhood;PS3;2010;Action;Ubisoft;0.57
516;BioShock;X360;2007;Shooter;Take-Two Interactive;0.86
517;Madden NFL 10;X360;2009;Sports;Electronic Arts;0.09
518;Medal of Honor;PS3;2010;Shooter;Electronic Arts;1.05
519;WWE SmackDown! vs. Raw;PS2;2002;Fighting;THQ;1.08
520;Metroid Prime;GC;2002;Shooter;Nintendo;0.67
521;Finding Nemo;GBA;2003;Action;THQ;1.05
522;Myst;PC;1994;Adventure;Red Orb;2.79
523;Need for Speed: Hot Pursuit;PS3;2010;Racing;Electronic Arts;1.25
524;Imagine: Fashion Designer;DS;2007;Simulation;Ubisoft;1.19
525;WWE SmackDown! Here Comes the Pain;PS2;2003;Fighting;THQ;1.06
526;Star Wars: The Force Unleashed;X360;2008;Action;LucasArts;0.8
527;Yoshi's Island DS;DS;2006;Platform;Nintendo;0.07
528;Hot Shots Golf;PS;1997;Sports;Sony Computer Entertainment;0.2
529;Killzone 3;PS3;2011;Shooter;Sony Computer Entertainment;0.88
530;A Bug's Life;PS;1998;Platform;Sony Computer Entertainment;0.72
531;WWF SmackDown! Just Bring It;PS2;2001;Fighting;THQ;1.15
532;Dragon Quest V: Tenkuu no Hanayome;SNES;1992;Role-Playing;Enix Corporation;0
533;Mortal Kombat Trilogy;PS;1996;Fighting;GT Interactive;0.7
534;Battlefield 3;PC;2011;Shooter;Electronic Arts;1.43
535;NBA Street;PS2;2001;Sports;Electronic Arts;0.22
536;Professor Layton and the Last Specter;DS;2009;Puzzle;Nintendo;1.47
537;Monster Hunter Tri;3DS;2011;Role-Playing;Nintendo;0.29
538;Jak II;PS2;2003;Platform;Sony Computer Entertainment;0.74
539;inFAMOUS: Second Son;PS4;2014;Action;Sony Computer Entertainment;0.97
540;Ratchet & Clank: Going Commando;PS2;2003;Platform;Sony Computer Entertainment;0.83
541;Tekken 6;PS3;2009;Fighting;Namco Bandai Games;0.98
542;The Sims;PS2;2003;Simulation;Electronic Arts;1.12
543;Sonic and the Secret Rings;Wii;2007;Platform;Sega;1.2
544;Saints Row: The Third;X360;2011;Action;THQ;1.15
545;Missile Command;2600;1980;Shooter;Atari;0.17
546;Mario Paint;SNES;1992;Misc;Nintendo;0.54
547;Assassin's Creed IV: Black Flag;PS4;2013;Action;Ubisoft;1.31
548;Pokémon Stadium 2;N64;2000;Strategy;Nintendo;0.36
549;Metroid;NES;1986;Action;Nintendo;0.31
550;L.A. Noire;X360;2011;Adventure;Take-Two Interactive;0.94
551;Call of Duty 3;X360;2006;Shooter;Activision;0.93
552;The Legend of Zelda: A Link to the Past;GBA;2002;Action;Nintendo;0.52
553;Onimusha: Warlords;PS2;2001;Action;Virgin Interactive;0.48
554;Mortal Kombat X;PS4;2015;Fighting;Warner Bros. Interactive Entertainment;0.76
555;Mario Party;N64;1998;Misc;Nintendo;0.53
556;Madden NFL 12;X360;2011;Sports;Electronic Arts;0.11
557;LEGO Star Wars II: The Original Trilogy;PS2;2006;Action;LucasArts;0.64
558;Madden NFL 11;X360;2010;Sports;Electronic Arts;0.12
559;Mario vs. Donkey Kong: Mini-Land Mayhem!;DS;2010;Puzzle;Nintendo;0.52
560;Skate 3;X360;2010;Sports;Electronic Arts;0.98
561;Burnout 3: Takedown;PS2;2004;Racing;Electronic Arts;1.11
562;Yokai Watch 2 Shinuchi;3DS;2014;Role-Playing;Level 5;0
563;Need for Speed: Shift;PS3;2009;Racing;Electronic Arts;1.41
564;Final Fantasy XIII-2;PS3;2011;Role-Playing;Square Enix;0.75
565;Mortal Kombat;GEN;1992;Fighting;Arena Entertainment;0.63
566;Call Of Duty 2: Big Red One;PS2;2005;Shooter;Activision;0.92
567;Guitar Hero: World Tour;X360;2008;Misc;Activision;0.64
568;Medal of Honor;PS;1998;Shooter;Electronic Arts;1.09
569;Fable;XB;2004;Role-Playing;Microsoft Game Studios;0.58
570;Hannah Montana;DS;2006;Action;Disney Interactive Studios;0.8
571;Tom Clancy's Splinter Cell;PS2;2003;Action;Ubisoft;1.11
572;Skylanders Giants;Wii;2012;Action;Activision;0.88
573;Medal of Honor Heroes;PSP;2006;Shooter;Electronic Arts;1.11
574;Super Mario Bros.: The Lost Levels;NES;1986;Platform;Nintendo;0
575;Star Wars: Shadows of the Empire;N64;1996;Action;Nintendo;0.5
576;LEGO Star Wars: The Complete Saga;X360;2007;Action;LucasArts;0.87
577;Midnight Club: Street Racing;PS2;2000;Racing;Take-Two Interactive;0.47
578;Pac-Man: Adventures in Time;PSP;2006;Fighting;Sony Computer Entertainment;1.1
579;Halo Wars;X360;2009;Strategy;Microsoft Game Studios;0.82
580;God of War Collection;PS3;2009;Action;Sony Computer Entertainment;0.46
581;ESPN NFL 2K5;PS2;2004;Sports;Sega;0.12
582;Mario Strikers Charged;Wii;2007;Sports;Nintendo;1.06
583;Medal of Honor;X360;2010;Shooter;Electronic Arts;0.81
584;FIFA Soccer 10;X360;2009;Sports;Electronic Arts;1.79
585;NBA 2K12;X360;2011;Sports;Take-Two Interactive;0.14
586;Style Savvy;DS;2008;Simulation;Nintendo;0.84
587;Harry Potter and the Chamber of Secrets;PS2;2002;Action;Electronic Arts;1.22
588;Super Mario All-Stars: Limited Edition;Wii;2010;Platform;Nintendo;0.52
589;Streets of Rage;GEN;1990;Action;Sega;0.55
590;FIFA Soccer 09;PS3;2008;Sports;Electronic Arts;1.63
591;Ratchet & Clank Future: Tools of Destruction;PS3;2007;Platform;Sony Computer Entertainment;1.12
592;NBA Live 2005;PS2;2004;Sports;Electronic Arts;0.21
593;LittleBigPlanet;PSP;2009;Platform;Sony Computer Entertainment;1.24
594;Killzone: Shadow Fall;PS4;2013;Shooter;Sony Computer Entertainment;1.33
595;Ghostbusters: The Video Game (DS Version);X360;2009;Action;Take-Two Interactive;1.24
596;Monster Hunter Freedom 2;PSP;2007;Role-Playing;Capcom;0.27
597;WWE SmackDown vs. RAW 2007;PS2;2006;Fighting;THQ;0.88
598;Ratchet & Clank: Up Your Arsenal;PS2;2004;Platform;Sony Computer Entertainment;0.74
599;Art Academy;DS;2010;Misc;Nintendo;1.68
600;Dragon Age: Origins;X360;2009;Role-Playing;Electronic Arts;0.56
601;Madden NFL 08;PS2;2007;Sports;Electronic Arts;0.08
602;Sonic Adventure 2 Battle;GC;2001;Platform;Sega;0.59
603;Dragon Warrior II;NES;1987;Role-Playing;Enix Corporation;0
604;Madden NFL 13;PS3;2012;Sports;Electronic Arts;0.23
605;Pokémon Colosseum;GC;2003;Role-Playing;Nintendo;0.57
606;Deca Sports;Wii;2008;Sports;Konami Digital Entertainment;0.87
607;Madden NFL 09;X360;2008;Sports;Electronic Arts;0.12
608;Space Invaders;2600;N/A;Shooter;Atari;0.14
609;Crazy Taxi;PS2;2001;Racing;Acclaim Entertainment;1.12
610;Perfect Dark;N64;2000;Action;Nintendo;0.75
611;Game Party;Wii;2007;Misc;Midway Games;0.78
612;Dragon Warrior;NES;1986;Role-Playing;Capcom;0
613;Tomb Raider (2013);PS3;2013;Action;Square Enix;1.31
614;Marvel: Ultimate Alliance;X360;2006;Role-Playing;Activision;0.02
615;PES 2009: Pro Evolution Soccer;PS2;2008;Sports;Konami Digital Entertainment;0.07
616;Mario Party 2;N64;1999;Misc;Nintendo;0.14
617;Saints Row: The Third;PS3;2011;Action;THQ;1.06
618;Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City;XB;2003;Action;Take-Two Interactive;0.56
619;LEGO Harry Potter: Years 1-4;Wii;2010;Action;Warner Bros. Interactive Entertainment;0.97
620;Mortal Kombat: Deadly Alliance;PS2;2002;Fighting;Midway Games;0.52
621;Resistance 2;PS3;2008;Shooter;Sony Computer Entertainment;0.85
622;Pure;X360;2008;Racing;Disney Interactive Studios;0.85
623;Tomb Raider: The Last Revelation;PS;1998;Action;Eidos Interactive;1.14
624;NBA 2K13;PS3;2012;Sports;Take-Two Interactive;0.44
625;Rock Band;X360;N/A;Misc;Electronic Arts;0.34
626;NBA 2K14;X360;2013;Sports;Take-Two Interactive;0.2
627;Mario Party 4;GC;2002;Misc;Nintendo;0.36
628;uDraw Studio;Wii;2010;Misc;THQ;0.58
629;Midnight Club: Los Angeles;PS3;2008;Racing;Take-Two Interactive;0.54
630;Final Fantasy V;SNES;1992;Role-Playing;SquareSoft;0
631;Final Fantasy Tactics;PS;1997;Role-Playing;SquareSoft;0.12
632;Twisted Metal 2;PS;1996;Racing;Sony Computer Entertainment;0.25
633;Halo: Combat Evolved Anniversary;X360;2011;Shooter;Microsoft Game Studios;0.73
634;Need for Speed Carbon: Own the City;PSP;2006;Racing;Electronic Arts;0.98
635;The Sims: Bustin' Out;PS2;2003;Simulation;Electronic Arts;1.19
636;Riven: The Sequel to Myst;PC;1997;Adventure;Red Orb;0.82
637;Tom Clancy's Rainbow Six: Vegas 2;X360;2008;Shooter;Ubisoft;0.61
638;Sonic Adventure;DC;1998;Platform;Sega;0.61
639;Ice Hockey;NES;1988;Sports;Nintendo;0.32
640;pro evolution soccer 2011;PS3;2010;Sports;Konami Digital Entertainment;1.18
641;Dragon Ball Z: Budokai 2;PS2;2003;Fighting;Atari;0.22
642;ATV Offroad Fury;PS2;2001;Racing;Sony Computer Entertainment;0.26
643;Dino Crisis;PS;1998;Action;Capcom;0.76
644;Minecraft;XOne;2014;Misc;Microsoft Game Studios;0.76
645;Need for Speed: ProStreet;PS2;2007;Racing;Electronic Arts;0
646;Madden NFL 16;XOne;2015;Sports;Electronic Arts;0.08
647;Tetris Plus;PS;1996;Puzzle;JVC;0.24
648;Pro Wrestling;NES;1987;Fighting;Nintendo;0.18
649;Theme Hospital;PC;1997;Strategy;Electronic Arts;0.1
650;Frogger's Adventures: Temple of the Frog;GBA;N/A;Adventure;Konami Digital Entertainment;0.18
651;Need for Speed (2015);PS4;2015;Racing;Electronic Arts;1.49
652;Zumba Fitness;X360;2010;Sports;505 Games;0.48
653;LEGO Indiana Jones: The Original Adventures;Wii;N/A;Action;LucasArts;0.63
655;Monopoly;PC;1994;Misc;Hasbro Interactive;0.81
656;Batman: Arkham Origins;PS3;2013;Action;Warner Bros. Interactive Entertainment;0.87
657;Dead Island;X360;2011;Action;Deep Silver;0.71
658;Guitar Hero;PS2;2005;Misc;RedOctane;0.61
659;LEGO Star Wars: The Complete Saga;PS3;2007;Action;LucasArts;0.97
660;Kinect: Disneyland Adventures;X360;2011;Misc;Microsoft Game Studios;0.46
661;WCW/nWo Revenge;N64;1998;Fighting;THQ;0.39
662;Bloodborne;PS4;2015;Action;Sony Computer Entertainment;0.76
663;NBA 2K15;PS4;2014;Sports;Take-Two Interactive;0.54
664;Madden NFL 11;PS3;2010;Sports;Electronic Arts;0.15
665;Yu-Gi-Oh! The Duelists of the Roses;PS2;2001;Misc;Konami Digital Entertainment;0.91
666;Madden NFL 08;X360;2007;Sports;Electronic Arts;0.01
667;Half-Life 2;PC;2004;Shooter;Vivendi Games;0.02
668;The Incredibles;PS2;2004;Action;THQ;1.08
669;Tony Hawk's Underground 2;PS2;2004;Sports;Activision;0.86
670;Madden NFL 10;PS3;2009;Sports;Electronic Arts;0.13
671;Kinect Sports: Season Two;X360;2011;Sports;Microsoft Game Studios;0.74
672;Kirby's Dream Land 2;GB;1995;Platform;Nintendo;0.14
673;LEGO Harry Potter: Years 1-4;DS;2010;Action;Warner Bros. Interactive Entertainment;1.05
674;Donkey Kong Land II;GB;1996;Platform;Nintendo;0.48
675;Dragon Warrior Monsters;GB;1998;Role-Playing;Eidos Interactive;0
676;Midnight Club: Los Angeles;X360;2008;Racing;Take-Two Interactive;0.46
677;Skylanders SWAP Force;Wii;2013;Platform;Activision;0.83
678;WWE SmackDown vs Raw 2008;PS2;2007;Fighting;THQ;0
679;My Fitness Coach;Wii;2008;Sports;Ubisoft;0.9
680;Resident Evil - Code: Veronica X;PS2;2001;Action;Capcom;0.7
681;The Sims 3;X360;2010;Simulation;Electronic Arts;0.86
682;The Legend of Zelda: Majora's Mask 3D;3DS;2015;Action;Nintendo;0.54
683;NBA 2K16;XOne;2015;Sports;Take-Two Interactive;0.14
684;Just Dance Kids;Wii;2010;Misc;Ubisoft;0.56
685;Mario Tennis;N64;2000;Sports;Nintendo;0.4
686;Grand Theft Auto;PS;1997;Action;Take-Two Interactive;1.35
687;James Bond 007: Everything or Nothing;PS2;2004;Shooter;Electronic Arts;1.06
688;WarioWare Touched!;DS;2004;Puzzle;Nintendo;0.45
689;Need For Speed: High Stakes;PS;1999;Racing;Electronic Arts;0.64
690;Chrono Trigger;SNES;1995;Role-Playing;SquareSoft;0
691;Cool Boarders 3;PS;1998;Sports;989 Studios;0.46
692;LEGO Marvel Super Heroes;X360;2013;Action;Warner Bros. Interactive Entertainment;0.85
693;Guild Wars 2;PC;2012;Action;NCSoft;1.06
694;Pokemon Ranger: Shadows of Almia;DS;2008;Role-Playing;Nintendo;0.54
695;Dead Island;PS3;2011;Action;Deep Silver;0.75
696;Tomb Raider II;PC;1997;Action;Eidos Interactive;1.25
697;God of War: Ascension;PS3;2013;Action;Sony Computer Entertainment;0.68
698;Need for Speed Underground 2;XB;2004;Racing;Electronic Arts;0.8
699;Pro Evolution Soccer 2010;PS3;2009;Sports;Konami Digital Entertainment;1.27
700;Just Dance 2015;Wii;2014;Misc;Ubisoft;0.98
701;Yokai Watch Busters;3DS;2015;Action;Level 5;0
702;Mario Bros.;NES;1983;Platform;Nintendo;0.12
703;FIFA Soccer 09;PS2;2008;Sports;Electronic Arts;0.07
704;Star Wars: The Force Unleashed;PS3;2008;Action;LucasArts;0.9
705;Borderlands 2;PS3;2012;Shooter;Take-Two Interactive;0.77
706;TOCA Touring Car Championship;PS;1997;Racing;Codemasters;2
707;Paper Mario: Sticker Star;3DS;2012;Role-Playing;Nintendo;0.39
708;Sonic's Ultimate Genesis Collection;PS3;2009;Misc;Sega;0.62
709;Super Monkey Ball: Banana Blitz;Wii;2006;Misc;Sega;0.92
710;Kirby: Nightmare in Dream Land;GBA;2002;Platform;Nintendo;0.1
711;Wario Land 4;GBA;2001;Platform;Nintendo;0.73
712;Guitar Hero III: Legends of Rock;PS3;2007;Misc;Activision;0.54
713;Call of Duty 3;Wii;N/A;Shooter;Activision;0.84
714;Resident Evil 4;Wii;2007;Action;Capcom;0.57
715;Minecraft;PSV;2014;Misc;Sony Computer Entertainment Europe;0.79
716;Onimusha 2: Samurai's Destiny;PS2;2002;Adventure;Capcom;0.44
717;Cool Boarders 2;PS;1997;Sports;UEP Systems;0.46
718;Paper Mario: The Thousand-Year Door;GC;2004;Role-Playing;Nintendo;0.25
719;Madden NFL 12;PS3;2011;Sports;Electronic Arts;0.15
720;Monster Hunter Tri;Wii;2009;Role-Playing;Nintendo;0.41
721;Dissidia: Final Fantasy;PSP;2008;Fighting;Square Enix;0.51
722;Sonic Advance;GBA;2001;Platform;Sega;0.71
723;Spyro: Season of Ice;GBA;2001;Platform;Vivendi Games;0.83
724;Teenage Mutant Ninja Turtles II: The Arcade Game;NES;1990;Action;Konami Digital Entertainment;0.25
725;LEGO Indiana Jones: The Original Adventures;DS;2008;Action;Activision;0.61
726;Dance Dance Revolution X2;PS2;2009;Simulation;Konami Digital Entertainment;0.85
727;New Super Luigi U;WiiU;2013;Platform;Nintendo;0.62
728;Prince of Persia: The Sands of Time;PS2;2003;Action;Ubisoft;1.03
729;Scribblenauts;DS;2009;Puzzle;Warner Bros. Interactive Entertainment;0.32
730;The Legend of Zelda: Link's Awakening DX;GB;1998;Adventure;Nintendo;0.63
731;Need for Speed: Hot Pursuit;X360;2010;Racing;Electronic Arts;0.98
732;BioShock 2;X360;2010;Shooter;Take-Two Interactive;0.55
733;Assassin's Creed IV: Black Flag;XOne;2013;Action;Ubisoft;0.55
734;Devil May Cry 3: Dante's Awakening Special Edition;PS2;2006;Action;Capcom;0.82
735;Rock Band 2;X360;2008;Misc;Electronic Arts;0.24
736;Frogger;2600;1981;Action;Parker Bros.;0.12
737;Guitar Hero II;X360;2007;Misc;Activision;0.02
738;Wario Land 3;GB;2000;Platform;Nintendo;0.51
739;Pro Yakyuu Family Stadium;NES;1986;Sports;Namco Bandai Games;0
740;Sonic Unleashed;Wii;2008;Platform;Sega;0.68
741;High School Musical: Makin' the Cut!;DS;2007;Puzzle;Disney Interactive Studios;0.91
742;Pro Evolution Soccer 2012;PS3;2011;Action;Konami Digital Entertainment;0.97
743;Saints Row;X360;2006;Action;THQ;0.78
744;Star Wars: Knights of the Old Republic;XB;2003;Role-Playing;Activision;0.44
745;Kirby's Pinball Land;GB;1992;Misc;Nintendo;0.17
746;Donkey Kong Country;GB;2000;Platform;Nintendo;0.72
747;Hitman: Absolution;PS3;2012;Action;Square Enix;1.07
748;Yu-Gi-Oh: Duel Monsters 4;GB;2000;Role-Playing;Konami Digital Entertainment;0
749;ATV Offroad Fury 2;PS2;2002;Racing;THQ;0.2
750;Forza Motorsport 5;XOne;2013;Racing;Microsoft Game Studios;0.78
751;Madden NFL 25;X360;2013;Sports;Electronic Arts;0.07
752;Pokemon Ranger;DS;2006;Role-Playing;Nintendo;0.04
753;Mario & Luigi: Superstar Saga;GBA;2003;Role-Playing;Nintendo;0.17
754;Final Fantasy XIII;X360;2010;Role-Playing;Square Enix;0.68
755;Star Wars: Rogue Squadron;N64;1998;Simulation;Nintendo;0.46
756;Tennis;NES;1984;Sports;Nintendo;0.11
757;The Sims: House Party;PC;2001;Simulation;Electronic Arts;0.83
758;Your Shape featuring Jenny McCarthy;Wii;2009;Sports;Ubisoft;0.47
759;Syphon Filter 2;PS;2000;Shooter;Sony Computer Entertainment;0.55
760;Tom Clancy's Rainbow Six: Siege;PS4;2015;Shooter;Ubisoft;1.16
761;Volleyball;NES;1987;Sports;Nintendo;0.03
762;FIFA 15;XOne;2014;Sports;Electronic Arts;1.41
763;Call of Duty: Roads to Victory;PSP;2007;Shooter;Activision;1.03
